"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","214278229433911232_1","2025-10-27","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Black)","Rain-Military-Black","Free Size","1","174.0","174.0",
"CANCELLED","214307090725051904_1","2025-10-27","Gujarat","Beanie Beige Cap","BeanieGray&Gloves","Free Size","1","399.0","399.0",
"DELIVERED","214314959669641856_1","2025-10-27","Chhattisgarh","Lowercase Navy Blue Parachute Baseball Cap for men ","Cap-Para-Navy","Free Size","1","329.0","329.0",
"DELIVERED","214328331597333120_1","2025-10-27","Andhra Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","214342703138446848_1","2025-10-27","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Black)","Rain-Military-Black","Free Size","1","189.0","189.0",
"DELIVERED","214438306040225280_1","2025-10-27","Telangana","lowercase Dryfit Lightweight Baseball Caps Men for Summer Season","Lowercase-DRYFIT-Navy","Free Size","1","292.0","292.0",
"DELIVERED","214449447605664256_1","2025-10-27","Haryana","lowercase Winter Woolen Skull Slouchy Knitted Beanie Cap with Fur Inside for Men and Women (Charcoal)","BEANIE-LONGFUR-CHARCOAL","Free Size","1","203.0","203.0",
"DELIVERED","214802963792689664_1","2025-10-28","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","138.0","138.0",
"DELIVERED","214967056603520512_1","2025-10-29","West Bengal","lowercase Waterproof Rain Cap for Men and Women (Navy Blue)","L-CAP-RAIN-MILITARY-NAVY","Free Size","1","177.0","177.0",
"DELIVERED","215130176757101888_1","2025-10-29","Tamil Nadu","lowercase Waterproof Rain Cap for Men and Women (Navy Blue)","L-CAP-RAIN-MILITARY-NAVY","Free Size","1","177.0","177.0",
"DELIVERED","215147915591681984_1","2025-10-29","West Bengal","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"RTO_COMPLETE","215429754819475072_1","2025-10-30","Arunachal Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"RTO_COMPLETE","215431413921717248_1","2025-10-30","Arunachal Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","215461487261752256_1","2025-10-30","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Black)","Rain-Military-Black","Free Size","1","189.0","189.0",
"CANCELLED","215474003807279936_1","2025-10-30","Tamil Nadu","Lowercase Branded Monsoon Season Waterproof Rain Cap","Cap-Baseball-Rain-Black","Free Size","1","171.0","171.0",
"DELIVERED","215848407189004416_1","2025-10-31","Odisha","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","215885175837457344_1","2025-10-31","Uttar Pradesh","Beanie Beige Cap","BeanieGray&Gloves","Free Size","1","399.0","399.0",
